team,video,title,artistMain,artistSub,ko_translate,ko_read,en_read,sub1,sub2,sub3
하루히,https://youtu.be/-mpProSVhx4,사랑의 미쿠루 전설 (Koi no Mikuru densetsu),아사히나 미쿠루,,사랑의 미쿠루 전설,코이노미쿠루덴세츠,koi no mikuru densetsu,,,
하루히,https://www.youtube.com/watch?v=N31laxAQmOk&feature=emb_title,사랑의 미쿠루 전설 현주,,,사랑의 미쿠루 전설 현주,코이노미쿠루덴세츠겐소우,koi no mikuru densetsu gensou,,,
하루히,https://youtu.be/dWXcreQVtRk,사랑해! (Aishite!),스즈미야하루히,,사랑해!,아이시테,Aishite,,,
하루히,https://youtu.be/pK8ESpXJEPg,상냥한 망각 (sincerity),나가토유키,,상냥한 망각 sincerity,야사시이 보우캬쿠 sincerity,Yasashii Boukyaku Sincerity,,,
하루히,https://www.youtube.com/watch?v=aHg3yJXGkdg,상냥한 망각 (sonority),나가토유키,,상냥한망각sonority,야사시이 보우캬쿠 sonority,Yasashii Boukyaku sonority,상냥한 망각,,
쿄애니,https://www.youtube.com/watch?v=pr6LQLHNsTA,상냥함의 이유,,,,야사시사노리유,Yasashisa no Riyuu,,,
하루히,https://youtu.be/65LhHQLh2QI,새끼손가락으로 꾸욱! (Ko Yubi De Gyu!),아사쿠라료코,,새끼손가락으로 꾸욱!,코유비데규,koyubidegyu,,,
쿄애니,https://www.youtube.com/watch?v=bwnJDz8n9bQ,새의 시 (Tori No Uta),,,새의 시,토리노우타,Tori no uta,,,
하루히,https://youtu.be/sLsBCjeQNyo,세계가 꿈꾸는 꿈의 한 가운데에서 (Sekai ga yumemiru yume no naka),스즈미야하루히:나가토유키:아사히나미쿠루,,세계가 꿈꾸는 꿈의 한 가운데에서,세카이가유메미루유메노나카,sekai ga yumemiru yume no naka,,,
하루히-성덕,https://www.youtube.com/watch?v=Kx1K_lSKQ88,스피드스타 (Speed Star),히라노아야,,스피드스타,Speed Star,속도별,혜성,,
하루히,https://www.youtube.com/watch?v=WqXHbZxFzAE,슬픔이 넘쳐흘러 (Sabishimi Afureru),,,슬픔이 넘쳐흘러,Sabishimi Afureru,사비시가 아후레루,,,
쿄애니,https://www.youtube.com/watch?v=H5CFkvSZCJk,시간을 새기는 노래 (Toki wo kizamu Uta),,,시간을 새기는 노래,토키오키자무우타,tokiwokizamuuta,,,
하루히,https://youtu.be/xjILqYX6Qpg,시간의 퍼즐 (Toki No Puzzle),아사히나 미쿠루,,시간의 퍼즐,토키노퍼즐,toki no puzzle,,,
하루히,https://youtu.be/_VkRXkiQl6s,시시한 이야기예요 라고 저는 말할겁니다 (Tsumaranai Hanashi Desuyo To Boku wa Iu),코이즈미이츠키,,시시한 이야기예요 라고 저는 말할겁니다,츠마라나이하나시데스요토보쿠와이우,tsumaranai hanashi desu yo to boku wa iu,,,
쿄애니,https://www.youtube.com/watch?v=8sZXUQqkSXE,신세계에서,,,신세계에서,Shinsekai Yori,From the new world,,,
하루히,https://youtu.be/zmR1OSIhM8g,어... 리턴즈해서 리벤지! (Etto Returns Shite Revenge!),아사히나 미쿠루,,리턴즈해서 리벤지!,엣토리턴즈시테리벤지,etto returns shite revenge,어 리턴즈해서 리벤지,,
하루히,https://www.youtube.com/watch?v=tLUegKLP-zI,어느 비 오는 날,,,썸데이인더레인,AruAmeNoHi,Someday In the rain,섬데이인더레인,아루아메노히,
하루히,https://youtu.be/4JaYh-l47Pg,언제나의 풍경 (Itsumo no Fuukei),,,언제나의풍경,이츠모노후우케이,itsumo no fuukei,,,
하루히,https://www.youtube.com/watch?v=ci4F-xbgZf4,언제나의 풍경에서 끝나는 이야기,,,언제나의풍경에서끝나는이야기,이츠모노후케이데오와루모노가타리,Itsumo no Fuukei de Owaru Monogatari,,,
하루히,https://www.youtube.com/watch?v=YdBMpSweDD0,언제나의 풍경에서 시작되는 이야기,,,언제나의풍경소실,이츠모노후케이카라하지마루모노가타리,itsumo no fuukeikara hajimaru monogatari,언제나의 풍경에서 시작하는 이야기,,
하루히,https://youtu.be/Yp9he4jTSQ4,여동생을 잊으면 사형이야 (Imouto wasurecha Oshioki yo),쿈의여동생,,여동생을 잊으면 사형이야,이모우토 와스레챠 오시오키 요,imouto wasurecha oshioki yo,,,
러키스타,https://www.youtube.com/watch?v=4Ddpha8WWcA,우정전대 다라레인져 (Yuuchou Sentai Dararenjaa),,,우정전대 다라레인져,Yuuchou Sentai Dararenjaa,유우쵸우 센타이 다라렌쟈,,,
하루히,https://youtu.be/kGT4zPkmb28,운명적 사건의 행복 (Unmeiteki Jiken No Koufuku),스즈미야하루히:나가토유키:아사히나미쿠루,,운명적 사건의 행복,운메이테키 지켄 노 코우후쿠_,Unmeiteki jiken no koufuku,,,
하루히,https://youtu.be/D6jqzkzGNAw,이상해요 무서워요 (Hen Desu Kowai Desu),아사히나 미쿠루,,이상해요 무서워요,헨데스코와이데스,hen desu kowai desu,,,
쿄애니,https://www.youtube.com/watch?v=QUlv-6l0fic,이종간 커뮤니케이션 (Ishuukan Communication),,,이종간 커뮤니케이션,이슈우칸커뮤니케이션,Ishuukan communication,,,
케이온,https://youtu.be/iDPb_lyqH-k,이치방 잇빠이 (Ichiban Ippai),,,이치방 입빠이,이치방 잇빠이,Ichiban Ippai,이치방 잇파이,이치방 입파이,
하루히,https://youtu.be/QtXutVcPifI,인생의 주역 콜! (Jinsei no shuyaku Call),타니구치,,인생의 주역 콜!,진세이노슈야쿠콜,jinsei no shuyaku call,,,
러키스타,https://www.youtube.com/watch?v=9pAHsMkFlvs&t=157s,잠자기로 리셋!,,,잠자기로 리셋,네니게데리셋,Nenigederisetto,,,
하루히,https://youtu.be/THNwKmbj4GM,잠재적 태양의 증명,스즈미야하루히:나가토유키:아사히나미쿠루,,잠재적 태양의 증명,,,,,
하루히,https://youtu.be/wuQDimt2c1c,제사 후 제사! 어서 오세요 (Matsutte Matsutte Irassha),츠루야,,제사 후 제사! 어서 오세요,마츳테마츳테이랏샤,matsutte matsutte irassha,,,
