team,video,title,artistMain,artistSub,ko_translate,ko_read,en_read,sub1,sub2,sub3
765,https://youtu.be/qLIXZgYl-vo,チアリングレター (Cheering Letter),마코토,,,치어링레터,Cheering Letter,치어링래터,,
765,https://youtu.be/7FlFKZ1P62Q,チェリー(Cherry),하루카:이오리:히비키:리츠코:유키호,,,체리,Cherry,,,
765,https://youtu.be/zfCxtwxBfKM,チキンライス(Chicken Rice),야요이,,닭고기덮밥,치킨 라이스,Chicken Rice,,,
765,https://youtu.be/GaolISvU1NU,チクタク (Chikutaku / Tick Tock),미키:야요이:유키호,,틱톡,치쿠타쿠,Tick Tock,시계,,
765,https://youtu.be/iLvdyzAIYP0,チャンピオン (Champion),미키,,챔피온,챔피언,Champion,참피온,참피안,참피언
765,https://youtu.be/scuhpu1acc4,トイレの神様 (Toilet no Kamisama),야요이,,화장실의신,토이레노카미사마,Toilet no Kamisama,화장실의신님,화장실의여신,
765,https://youtu.be/qVvh2DHYyKU,ドゥー・ユー・リメンバー・ミー (Do You Remember Me),이오리,,,두유리멤버미,Do You Remember Me,,,
765,https://youtu.be/gK8WtaKILqE,ドキッ ラブアトラクション(Doki Love Attraction),아미:마미,,도킷러브어트랙션,도키러브어트랙션,Doki Love Attraction,러브어트랙션,,
765,https://youtu.be/WTO3uOK0jHA,どっきり☆ハピバ (Dokkiri Happy Birthday),아미:마미,,돗키리HappyBirthday,돗키리해피버스데이,Dokkiri Happy Birthday,Happy Birthday,,
765,https://youtu.be/OVGxDLIx-QQ,トリプルAngel (Triple Angel),아미,,트리플angel,트리플엔젤,Triple Angel,트리후엔제루,트리플엔제루,
765,https://youtu.be/PlC3vqZQkt0,ナツノハナ (Natsu no Hana),마코토,,나츠노하나,나쓰노하나,Natsu no Hana,여름의꽃,,
765,https://youtu.be/AI_zhuXB-7g,なんどでも笑おう (nandode mo waraou),하루카:치하야:미키,,몇번이고웃자,난도데모와라오,nandode mo waraou,난도데모와라오우,,
765,https://youtu.be/bBbUgA4VzrI,ね～え？(Ne~e?),미키,,네,네에에,Nee,네에,,
765,https://youtu.be/s_oCIm4VxPk,ねがいひとつ(Negai Hitotsu),유키호,,소원 한가지,네가이히토츠,Negai Hitotsu,소원하나,,
765,https://youtu.be/cCXD0_qTVik,ハニカミ!ファーストバイト(Hanikami! First Bite),아즈사,,하니카미,하니카미퍼스트바이트,Hanikami! First Bite,hanikami,,
765,https://youtu.be/JZ3iieTYsx4,はらり、ひらり(Harari Hirari),야요이,,,하라리히라리,Harari Hirari,,,
765,https://youtu.be/oXHQdYuwLms,ハリキリ★ラリー (Harikiri★Rally),마코토,,날지못하는새는밤에운다,하리키리랠리뉴송,Harikiri★Rally,하리키리랠리,,
765,https://youtu.be/AkhYDLKrIsE,はるのきおく(Haru no Kioku),이오리,,봄의기억,하루노키오쿠,Haru no Kioku,,,
765,https://youtu.be/GdA6sQ8pHzs,バレンタイン (Valentine),아미:마미:미키,쌍둥이:미키,,발렌타인,Valentine,바렌타인,,
765,https://youtu.be/Oqn-LEXEqJo,バレンタイン・キッス(Valentine Kiss),이오리,,,발렌타인키스,Valentine Kiss,바렌타인키스,,
765,https://youtu.be/08erDGG-H1A,ハロー (Hello),치하야,,하로,헬로,Hello,안녕,,
765,https://youtu.be/oE-2mR78B2o,ハロー＊ランチタイム (Hello＊Lunchtime),하루카:치하야:마코토:리츠코,,,헬로런치타임,Hello＊Lunchtime,하로런치타임,,
765,https://youtu.be/sczagaz-TSg,ヒーロー(Hero),야요이,,히로,히어로,Hero,히이로,,
